event_id,ticker,date,event_title,event_category,price_move_window,price_move_percentage,explanation,confidence_level,source_name,source_url,source_date,annotation_text,applies_to
EVT-001,SECTOR,2024-08-13,NIST releases first finalised post-quantum encryption standards,Regulatory / standards,context,,"NIST released its first three final post-quantum encryption standards. This is more directly relevant to post-quantum security names than quantum hardware stocks.",Medium,NIST,https://www.nist.gov/news-events/news/2024/08/nist-releases-first-3-finalized-post-quantum-encryption-standards,2024-08-13,"NIST PQC standards finalised. Relevant to quantum-safe security rather than proof of near-term quantum computer revenue.",ARQQ;SECTOR
EVT-002,GOOGL,2024-12-09,Google announces Willow quantum chip,Technical milestone,1d/5d,,"Google announced Willow, a quantum chip demonstrating advances in error correction and benchmark performance. Sector attention appeared to increase around the announcement.",Medium,Google,https://blog.google/innovation-and-ai/technology/research/google-willow-quantum-chip/,2024-12-09,"Google Willow announced. Useful as a sector-attention marker, not necessarily a GOOGL valuation driver.",GOOGL;IONQ;QBTS;RGTI;QUBT;ARQQ
EVT-003,SECTOR,2025-01-08,Nvidia CEO comments on long timelines for useful quantum computers,Market commentary / sector selloff,1d,,"Reuters reported that quantum computing stocks fell after Jensen Huang suggested practical quantum computing may be roughly two decades away.",High,Reuters,https://www.reuters.com/technology/quantum-computing-stocks-take-hit-nvidia-ceo-predicts-long-road-ahead-2025-01-08/,2025-01-08,"Sector selloff after Nvidia CEO comments on long timelines for useful quantum computers.",IONQ;QBTS;RGTI;QUBT;ARQQ;SECTOR
EVT-004,MSFT,2025-02-19,Microsoft announces Majorana 1,Technical milestone,1d/5d,,"Microsoft announced Majorana 1 and described it as a topological-core quantum chip. Treat as a company milestone and sector narrative event, not a proof of near-term commercial quantum advantage.",Medium,Microsoft,https://news.microsoft.com/source/features/innovation/microsofts-majorana-1-chip-carves-new-path-for-quantum-computing/,2025-02-19,"Microsoft Majorana 1 announced. Important technical narrative event, but likely small relative to MSFT total equity drivers.",MSFT;SECTOR
EVT-005,QNT,2026-06-04,Quantinuum begins Nasdaq trading under QNT,IPO / listing,first trading day,,"Quantinuum said shares were expected to trade on Nasdaq under QNT from June 4, 2026. Price history is partial and must not be backfilled.",High,Quantinuum,https://www.quantinuum.com/press-releases/quantinuum-announces-pricing-of-upsized-initial-public-offering,2026-06-03,"QNT IPO. Partial trading history only. Do not compare as if it had a full 24-month series.",QNT
EVT-006,IQMX,2026-07-02,IQM begins U.S. trading under IQMX,Listing / SPAC,first trading day,,"IQM began trading under IQMX on the Nasdaq Global Select Market after a business combination. Public history is extremely short.",High,BusinessWire/IQM,https://newshub.medianet.com.au/2026/07/iqm-quantum-computers-becomes-first-european-quantum-computing-company-listed-on-a-major-u-s-exchange/160395/,2026-07-02,"IQMX listing. Partial trading history only. Treat as very early public-market data.",IQMX
EVT-007,RGTI,2026-03-25,Rigetti announces UK quantum system investment,Company announcement,5d,,"Rigetti said the investment would support deployment of a quantum computing system in the UK with more than 1,000 qubits over several years. Match only if the data shows a material move.",Medium,Rigetti,https://investors.rigetti.com/news-events/news-releases/,2026-03-25,"Rigetti UK system investment announcement. Use only if price move threshold is met.",RGTI
EVT-008,QUBT,2026-05-11,QCi reports first quarter 2026 financial results,Earnings,1d/5d,,"QCi reported Q1 2026 results and described itself as a quantum optics and integrated photonics company. Match only if the data shows an earnings reaction.",Medium,PR Newswire,https://www.prnewswire.com/news-releases/quantum-computing-inc-reports-first-quarter-2026-financial-results-302768603.html,2026-05-11,"QUBT Q1 2026 result. Check price reaction before annotating.",QUBT
EVT-009,ARQQ,2026-05-21,Arqit announces first half fiscal 2026 results,Earnings,1d/5d,,"Arqit released first-half fiscal 2026 results. The company is better classified as quantum-safe cybersecurity rather than quantum computing hardware.",Medium,GlobeNewswire,https://www.globenewswire.com/news-release/2026/05/21/3299277/0/en/arqit-quantum-inc-announces-financial-results-for-first-half-of-fiscal-year-2026.html,2026-05-21,"ARQQ H1 FY26 result. Quantum-safe security exposure, not hardware quantum computing.",ARQQ
EVT-010,QBTS,2026-06-10,D-Wave gate-model roadmap coverage,Technical roadmap,5d/30d,,"Financial press covered D-Wave's gate-model roadmap and positioning beyond annealing. Match only if the data confirms a material move near the event.",Medium,Barron's,https://www.barrons.com/articles/d-wave-quantum-stock-ed36ca42,2026-06-10,"D-Wave gate-model roadmap coverage. Use cautiously, depending on data reaction.",QBTS
